sentence,label
"Now he's got to stand and be counted on the full gamut of public policy issues we face, and suddenly he's looking a lot like Glen Clark II",6
The real issue here is the polarization of debate: black and white positions taken: 'you are with us or against us' said Dubya.... a less than brilliant neo-conservative who seems emulated here by the left-wing self-righeous heavy breathers.,6
And the number of casualties in one plane crash vastly outnumbers the number of people who died because of Chernobyl and Fukushima.,9
That paradigm is long gone and mourning it here will never move the clock back to the mid 20th Century American Golden Age.,11
"I don't mind the basic pricing, but object strongly to the gouging every time you step outside the base package.",1
The scary thing is that various Conservative's have given her access to committees that would allow her to influence legislation so that she can inflict her beliefs on everyone.,6
He has also reduced the degree to which taxpayers would be on the hook if the market turns sour and defaults climb.,1
"Among the most popular with a core group of Liberal and NDP voters was the pledge to 'repeal the problematic elements of Bill C-51, and introduce new legislation that better balances our collective security with our rights and freedoms.'",5
"Although prices have been reduced for new contracts, the resulting excess supply has led to a circumstance in which wind regularly displaces hydro and nuclear generation, neither of which produce greenhouse gases.",1
Among other indications is the fact he has been referred to in 8 Supreme Court of Canada decisions from 1988 t0 2008.,5
They were - and are - based on the principle of user pay.Embedded in the cost of airline tickets are fees that go to the authority running the airport where the passenger departs.,1
"And since we are told that the terrorist is targeting us at home, he uses that free hand against us on our own turf as well.",8
"When China ratified the UN Convention on the Law of the Sea in 1996, it accepted the jurisdiction of the court over any dispute arising under that treaty.'",6
"Or would he care, given his own grievances (see Keystone XL) with President Barack Obama's administration?The Obama administration was miffed at Britain's decision to join the AIIB, and said so publicly.",6
"Given current economic imperatives (when I was an undergraduate at Toronto's York University, 1,000-plus class sizes were not unheard of), gigantic online classes may seem like an easy way of generating revenue.",1
The Senate is not a chamber of 2nd thought - it is as whipped and partisan as the House of Commons.,6
"As Harvard's Walter Willett, perhaps the world's leading cancer epidemiologist, told The New York Times, 'Diet and cancer has turned out to be more complex and challenging than any of us expected.",9
"Obama's predecessor, George W. Bush, was broadly criticized for a'fly-over' visit to the Southern areas ravaged by Hurricane Katrina in 2005 - anact he later described as a 'huge mistake.'",12
"Perhaps some jurors should have begged off, citing experience with rural woodlands.For the crime of making such videotapes, for possessing a vast trove of child pornography, and for the rapes, the father received a total of six years.",5
"Yet these are exactly the troubling issues the committee is, or should be, trying to rectify.There are multiple glaring obstacles preventing MPs from overseeing the public purse.",6
"As with any major medical treatment, the family and their doctors should use the best information to determine what is best.",9
"Finally, the kids will revolt, as they can't find jobs once they graduate from university so many will start up businesses.",1
"Their decision seems to have helped police arrest two men for the crime, as well as connect them to another victim.",5
"'While an IGA helps the banks lower their costs, they still have to ask all their account holders if they are 'U.S.",1
'In [Nystrom's] view ... New Democrats have to move hard against the Grits before the impression gets cemented that our politics have returned to the old Tory-Liberal rotation.,6
"Lee also met with the Hong Kong press and insisted that he had left Hong Kong on his own volition, although he did not describe how he was able to evade immigration control.",8
")Indeed, the Chicago study found that many wives with high earnings potential adjust their lives in order to make less than their husbands do, either by dropping out of the work force or switching to part-time work.",1
"------------...NOPE!...my take, Liberals have taken the 'Soft on terror' cudgel out of Steeve Cons hands-with the added benefit of insulating themselves from any 'Black Swan' terrorist political event eh?",6
Perhaps the Americans should take dynamite to Mount Rushmore: The four white men depicted there are clearly not representative of American diversity.,11
I'll be blunt: We don't need IS sympathizers or anyone who even remotely agrees with their beliefs here and screening against said beliefs is rational self-preservation.,8
"Asked about the ERAP issue again this week, a spokesman for the minister said the government's advisory committee is 'examining whether we need further measures' for crude and other flammable liquids.",6
If the west was going to do anything at all in this region it would be to set up secure bases to monitor and address any specific threats to itself.,8
"Since taking power, the NDP government has often been more Stephen Harper than Justin Trudeau, curtailing reporters' access and ending press conferences when it didn't like what was being asked.",6
Enthusiasm and expectations for the event were low in all three capitals and the political warmth among the 'Three Amigos' is no more salubrious than the February climate that would have greeted them.,12
He has accomplished a lot despite opposition which seemed to reach a level of absurdity probably not see before in American politics.,6
Fahmy was ultimately obliged to renounce his Egyptian citizenship (he was a dual citizen) so he could be freed under a new presidential decree allowing the deportation of foreigners convicted of a crime.,5
"During these hard times, during such a global economic maelstrom, when in debt... borrowing money to give away to others in not exactly the bright thing to do.",1
"I would love to have one of them explain to me exactly what - and I mean exactly, precisely, detail by detail - it is the Trump is going to do that is going to improve their lot life.",6
"Unless the Supreme Court of Canada becomes collectively infected with dyslexia and supreme sophism, a la the US Supreme Court, I hope we can rely upon it too quickly dispose of such naked authoritarianism as simply unconstitutional.",6
at TWU rather than at another university.The LSUC is correct in observing that a married same-sex couple could not study law at TWU.,5
Yes we need more Chinese millionaires buying our houses and driving up their value where the rest of us can not afford them.,1
Yet these appeals go out to all 'sides' to conform to international law......I guess Bin Laden should have been appealed to and condemned for violating international law.,5
"High-heeled shoes can cause arthritis, and low-heeled shoes give you plantar fasciitis, but you can't walk barefoot for fear of used syringes or athlete's foot.",9
"In fact, the very feelings which they adopt as a foundation of morality, because they seem to them useful to the general good, could be very harmful if abandoned to themselves.",3
"On the contrary, most spoke one or both, Vietnam having been a French colony, and many having learned English during the war.",11
"The Construction and Specialized Workers' Union and the International Union of Operating Engineers challenged that opinion in court.Given the list of factors that it was Mr. MacLean's duty to consider, his conclusion was right.",5
"If it was adjusted for inflation, $139,000 in 2013 would be the same as $100,000 when the Sunshine list was first created.",1
"Most would answer yes because it is morally repulsive, ignoring or not caring that the second part is a loaded question.",3
"Vaccination can eradicate infectious diseases only if uptake is high, but the uptake in Calgary's Catholic schools is a fraction of what it is elsewhere.",9
"Elections are not about appeasing minority interests, elections are the Democratic process employed to ensure governments are by the people.",6
Should I have some moral qualms about using the program to sidestep some very fundamental issues with our public education system?,3
"If the Obama administration wants even token participation from Canada in Syria and Iraq, perhaps they should occasionally take our concerns - like Keystone - seriously.",6
"Many doctors (possibly the majority of oncologists) now consider 5000 IU a reasonable daily dosage, and even 10,000 IU is considered a very safe dosage.",9
"Leave aside the taxpayer supported money donated to the Conservatives that will be spent, for goodness sake what about the unnecessary $50 million?",1
"Since the age of onset for schizophrenia is late teens or early adulthood the illness was often misunderstood as teenage angst, a 'bad seed' or some other social disability.",9
"Australian Liberal Party representatives attend Canadian Conservative conventions and observe election campaigns; Conservatives stay well briefed on what the Australian Liberals are thinking and strategizing.Today, however, the roles are reversed.",6
The poorest Canadians are now spending less of their income on food and clothing than at any time since everyone grew their own food and made their own clothes.,1
"'Do we seriously want to quarantine the six million residents of Sierra Leone (2,179 Ebola cases), 4.3 million citizens of Liberia (931 cases) and 11.8 million residents of Guinea (977 cases) based on a tiny percentage of sick people?",9
"In any event, the challenge is beyond the capacity of a single individual and will require a concerted effort by some member states.A complete revamp of personnel policies and practices should be a top priority, along with tighter accountability controls.",6
"Part of the answer lies in PM Harper's philosophy that the federal government should be involved in a small array of interests, one of them though being war.",6
"The marijuana industry in BC is HUGE, not small, and if she believes that use of cannabis would double or triple (based on what exactly?",1
"But such a shortage isn't 'looming' at all; it's already here, especially in Western Canada, where a lack of appropriate applicants is the largest challenge facing employers.",6
"'The family attended the bus driver's trial in Victoria more than a decade ago, expressing frustration that more serious criminal charges had not been filed.A scholarship at the University of Saskatchewan was established in Michael's name.",5
"Bring in a PC leader who is for less government, economic efficiency, and rational science based decisions and you will wipe the floor with the left.",6
"Everyone would rather have a love-fest with Obama, who nixed Keystone and was wary of closer Canada ties, until JT arrived.",6
Here anyone who has bought or owns property on the Island and is not an Island resident pays an almost double property tax.,1
"In this latest case, the government has taken what was once a private member's bill and buried it in the omnibus bill.",1
"Something will have to give.What will give in Ontario will become clearer in 2019 (after the next provincial election), when the government has promised a 'redesigned' program.",6
